Number,Name,Type 1,Type 2,Total Stats,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Sprite URL,Is Mega Evolution
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoothoot.png,False
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,https://img.pokemondb.net/sprites/sword-shield/icon/noctowl.png,False
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,https://img.pokemondb.net/sprites/sword-shield/icon/ledyba.png,False
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,https://img.pokemondb.net/sprites/sword-shield/icon/ledian.png,False
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/spinarak.png,False
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,https://img.pokemondb.net/sprites/sword-shield/icon/ariados.png,False
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,https://img.pokemondb.net/sprites/sword-shield/icon/crobat.png,False
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,https://img.pokemondb.net/sprites/sword-shield/icon/chinchou.png,False
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,https://img.pokemondb.net/sprites/sword-shield/icon/lanturn.png,False
172,Pichu,Electric,,205,20,40,15,35,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/pichu.png,False
173,Cleffa,Fairy,,218,50,25,28,45,55,15,https://img.pokemondb.net/sprites/sword-shield/icon/cleffa.png,False
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,https://img.pokemondb.net/sprites/sword-shield/icon/igglybuff.png,False
175,Togepi,Fairy,,245,35,20,65,40,65,20,https://img.pokemondb.net/sprites/sword-shield/icon/togepi.png,False
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,https://img.pokemondb.net/sprites/sword-shield/icon/togetic.png,False
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/natu.png,False
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/xatu.png,False
179,Mareep,Electric,,280,55,40,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/mareep.png,False
180,Flaaffy,Electric,,365,70,55,55,80,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/flaaffy.png,False
181,Ampharos,Electric,,510,90,75,85,115,90,55,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos.png,False
181,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,https://img.pokemondb.net/sprites/sword-shield/icon/ampharos-mega.png,True
182,Bellossom,Grass,,490,75,80,95,90,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/bellossom.png,False
183,Marill,Water,Fairy,250,70,20,50,20,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/marill.png,False
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/azumarill.png,False
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/sudowoodo.png,False
186,Politoed,Water,,500,90,75,75,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/politoed.png,False
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/hoppip.png,False
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,https://img.pokemondb.net/sprites/sword-shield/icon/skiploom.png,False
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/jumpluff.png,False
190,Aipom,Normal,,360,55,70,55,40,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/aipom.png,False
191,Sunkern,Grass,,180,30,30,30,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunkern.png,False
192,Sunflora,Grass,,425,75,75,55,105,85,30,https://img.pokemondb.net/sprites/sword-shield/icon/sunflora.png,False
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanma.png,False
194,Wooper,Water,Ground,210,55,45,45,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/wooper.png,False
194,Paldean Wooper,Poison,Ground,210,55,45,45,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper-paldean.png,True
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/quagsire.png,False
196,Espeon,Psychic,,525,65,65,60,130,95,110,https://img.pokemondb.net/sprites/sword-shield/icon/espeon.png,False
197,Umbreon,Dark,,525,95,65,110,60,130,65,https://img.pokemondb.net/sprites/sword-shield/icon/umbreon.png,False
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/murkrow.png,False
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking.png,False
199,Galarian Slowking,Poison,Psychic,490,95,65,80,110,110,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowking-galarian.png,True
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/misdreavus.png,False
201,Unown,Psychic,,336,48,72,48,72,48,48,https://img.pokemondb.net/sprites/sword-shield/icon/unown.png,False
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,https://img.pokemondb.net/sprites/sword-shield/icon/wobbuffet.png,False
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/girafarig.png,False
204,Pineco,Bug,,290,50,65,90,35,35,15,https://img.pokemondb.net/sprites/sword-shield/icon/pineco.png,False
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/forretress.png,False
206,Dunsparce,Normal,,415,100,70,70,65,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/dunsparce.png,False
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/gligar.png,False
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix.png,False
208,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,https://img.pokemondb.net/sprites/sword-shield/icon/steelix-mega.png,True
209,Snubbull,Fairy,,300,60,80,50,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/snubbull.png,False
210,Granbull,Fairy,,450,90,120,75,60,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/granbull.png,False
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/qwilfish.png,False
211,Hisuian Qwilfish,Dark,Poison,440,65,95,85,55,55,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish-hisuian.png,True
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/scizor.png,False
212,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,https://img.pokemondb.net/sprites/sword-shield/icon/scizor-mega.png,True
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,https://img.pokemondb.net/sprites/sword-shield/icon/shuckle.png,False
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/heracross.png,False
214,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,https://img.pokemondb.net/sprites/sword-shield/icon/heracross-mega.png,True
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/sword-shield/icon/sneasel.png,False
215,Hisuian Sneasel,Fighting,Poison,430,55,95,55,35,75,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel-hisuian.png,True
216,Teddiursa,Normal,,330,60,80,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/teddiursa.png,False
217,Ursaring,Normal,,500,90,130,75,75,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/ursaring.png,False
218,Slugma,Fire,,250,40,40,40,70,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/slugma.png,False
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/magcargo.png,False
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/swinub.png,False
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/piloswine.png,False
222,Corsola,Water,Rock,410,65,55,95,65,95,35,https://img.pokemondb.net/sprites/sword-shield/icon/corsola.png,False
222,Galarian Corsola,Ghost,,410,60,55,100,65,100,30,https://img.pokemondb.net/sprites/sword-shield/icon/corsola-galarian.png,True
223,Remoraid,Water,,300,35,65,35,65,35,65,https://img.pokemondb.net/sprites/sword-shield/icon/remoraid.png,False
224,Octillery,Water,,480,75,105,75,105,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/octillery.png,False
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/delibird.png,False
226,Mantine,Water,Flying,485,85,40,70,80,140,70,https://img.pokemondb.net/sprites/sword-shield/icon/mantine.png,False
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/skarmory.png,False
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/houndour.png,False
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom.png,False
229,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,https://img.pokemondb.net/sprites/sword-shield/icon/houndoom-mega.png,True
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,https://img.pokemondb.net/sprites/sword-shield/icon/kingdra.png,False
231,Phanpy,Ground,,330,90,60,60,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/phanpy.png,False
232,Donphan,Ground,,500,90,120,120,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/donphan.png,False
233,Porygon2,Normal,,515,85,80,90,105,95,60,https://img.pokemondb.net/sprites/sword-shield/icon/porygon2.png,False
234,Stantler,Normal,,465,73,95,62,85,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/stantler.png,False
235,Smeargle,Normal,,250,55,20,35,20,45,75,https://img.pokemondb.net/sprites/sword-shield/icon/smeargle.png,False
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/tyrogue.png,False
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/hitmontop.png,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/smoochum.png,False
239,Elekid,Electric,,360,45,63,37,65,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/elekid.png,False
240,Magby,Fire,,365,45,75,37,70,55,83,https://img.pokemondb.net/sprites/sword-shield/icon/magby.png,False
241,Miltank,Normal,,490,95,80,105,40,70,100,https://img.pokemondb.net/sprites/sword-shield/icon/miltank.png,False
242,Blissey,Normal,,540,255,10,10,75,135,55,https://img.pokemondb.net/sprites/sword-shield/icon/blissey.png,False
243,Raikou,Electric,,580,90,85,75,115,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/raikou.png,False
244,Entei,Fire,,580,115,115,85,90,75,100,https://img.pokemondb.net/sprites/sword-shield/icon/entei.png,False
245,Suicune,Water,,580,100,75,115,90,115,85,https://img.pokemondb.net/sprites/sword-shield/icon/suicune.png,False
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,https://img.pokemondb.net/sprites/sword-shield/icon/larvitar.png,False
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,https://img.pokemondb.net/sprites/sword-shield/icon/pupitar.png,False
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar.png,False
248,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,https://img.pokemondb.net/sprites/sword-shield/icon/tyranitar-mega.png,True
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,https://img.pokemondb.net/sprites/sword-shield/icon/lugia.png,False
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,https://img.pokemondb.net/sprites/sword-shield/icon/ho-oh.png,False
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/celebi.png,False
252,Treecko,Grass,,310,40,45,35,65,55,70,https://img.pokemondb.net/sprites/sword-shield/icon/treecko.png,False
253,Grovyle,Grass,,405,50,65,45,85,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/grovyle.png,False
254,Sceptile,Grass,,530,70,85,65,105,85,120,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile.png,False
254,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,https://img.pokemondb.net/sprites/sword-shield/icon/sceptile-mega.png,True
255,Torchic,Fire,,310,45,60,40,70,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/torchic.png,False
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/combusken.png,False
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken.png,False
257,Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/blaziken-mega.png,True
258,Mudkip,Water,,310,50,70,50,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/mudkip.png,False
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/marshtomp.png,False
260,Swampert,Water,Ground,535,100,110,90,85,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/swampert.png,False
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,https://img.pokemondb.net/sprites/sword-shield/icon/swampert-mega.png,True
261,Poochyena,Dark,,220,35,55,35,30,30,35,https://img.pokemondb.net/sprites/sword-shield/icon/poochyena.png,False
262,Mightyena,Dark,,420,70,90,70,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/mightyena.png,False
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon.png,False
263,Galarian Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/zigzagoon-galarian.png,True
264,Linoone,Normal,,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone.png,False
264,Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100,https://img.pokemondb.net/sprites/sword-shield/icon/linoone-galarian.png,True
265,Wurmple,Bug,,195,45,45,35,20,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/wurmple.png,False
266,Silcoon,Bug,,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/silcoon.png,False
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,https://img.pokemondb.net/sprites/sword-shield/icon/beautifly.png,False
268,Cascoon,Bug,,205,50,35,55,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/cascoon.png,False
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/dustox.png,False
270,Lotad,Water,Grass,220,40,30,30,40,50,30,https://img.pokemondb.net/sprites/sword-shield/icon/lotad.png,False
271,Lombre,Water,Grass,340,60,50,50,60,70,50,https://img.pokemondb.net/sprites/sword-shield/icon/lombre.png,False
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/ludicolo.png,False
273,Seedot,Grass,,220,40,40,50,30,30,30,https://img.pokemondb.net/sprites/sword-shield/icon/seedot.png,False
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/nuzleaf.png,False
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/shiftry.png,False
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/taillow.png,False
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,https://img.pokemondb.net/sprites/sword-shield/icon/swellow.png,False
278,Wingull,Water,Flying,270,40,30,30,55,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/wingull.png,False
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,https://img.pokemondb.net/sprites/sword-shield/icon/pelipper.png,False
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/ralts.png,False
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/kirlia.png,False
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir.png,False
282,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,https://img.pokemondb.net/sprites/sword-shield/icon/gardevoir-mega.png,True
283,Surskit,Bug,Water,269,40,30,32,50,52,65,https://img.pokemondb.net/sprites/sword-shield/icon/surskit.png,False
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,https://img.pokemondb.net/sprites/sword-shield/icon/masquerain.png,False
285,Shroomish,Grass,,295,60,40,60,40,60,35,https://img.pokemondb.net/sprites/sword-shield/icon/shroomish.png,False
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,https://img.pokemondb.net/sprites/sword-shield/icon/breloom.png,False
287,Slakoth,Normal,,280,60,60,60,35,35,30,https://img.pokemondb.net/sprites/sword-shield/icon/slakoth.png,False
288,Vigoroth,Normal,,440,80,80,80,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/vigoroth.png,False
289,Slaking,Normal,,670,150,160,100,95,65,100,https://img.pokemondb.net/sprites/sword-shield/icon/slaking.png,False
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/nincada.png,False
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,https://img.pokemondb.net/sprites/sword-shield/icon/ninjask.png,False
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/shedinja.png,False
293,Whismur,Normal,,240,64,51,23,51,23,28,https://img.pokemondb.net/sprites/sword-shield/icon/whismur.png,False
294,Loudred,Normal,,360,84,71,43,71,43,48,https://img.pokemondb.net/sprites/sword-shield/icon/loudred.png,False
295,Exploud,Normal,,490,104,91,63,91,73,68,https://img.pokemondb.net/sprites/sword-shield/icon/exploud.png,False
296,Makuhita,Fighting,,237,72,60,30,20,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/makuhita.png,False
297,Hariyama,Fighting,,474,144,120,60,40,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/hariyama.png,False
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/azurill.png,False
299,Nosepass,Rock,,375,30,45,135,45,90,30,https://img.pokemondb.net/sprites/sword-shield/icon/nosepass.png,False
300,Skitty,Normal,,260,50,45,45,35,35,50,https://img.pokemondb.net/sprites/sword-shield/icon/skitty.png,False
301,Delcatty,Normal,,400,70,65,65,55,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/delcatty.png,False
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,https://img.pokemondb.net/sprites/sword-shield/icon/sableye.png,False
302,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,https://img.pokemondb.net/sprites/sword-shield/icon/sableye-mega.png,True
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile.png,False
303,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/mawile-mega.png,True
304,Aron,Steel,Rock,330,50,70,100,40,40,30,https://img.pokemondb.net/sprites/sword-shield/icon/aron.png,False
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,https://img.pokemondb.net/sprites/sword-shield/icon/lairon.png,False
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron.png,False
306,Mega Aggron,Steel,,630,70,140,230,60,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/aggron-mega.png,True
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,https://img.pokemondb.net/sprites/sword-shield/icon/meditite.png,False
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,https://img.pokemondb.net/sprites/sword-shield/icon/medicham.png,False
308,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,https://img.pokemondb.net/sprites/sword-shield/icon/medicham-mega.png,True
309,Electrike,Electric,,295,40,45,40,65,40,65,https://img.pokemondb.net/sprites/sword-shield/icon/electrike.png,False
310,Manectric,Electric,,475,70,75,60,105,60,105,https://img.pokemondb.net/sprites/sword-shield/icon/manectric.png,False
310,Mega Manectric,Electric,,575,70,75,80,135,80,135,https://img.pokemondb.net/sprites/sword-shield/icon/manectric-mega.png,True
311,Plusle,Electric,,405,60,50,40,85,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/plusle.png,False
312,Minun,Electric,,405,60,40,50,75,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/minun.png,False
313,Volbeat,Bug,,430,65,73,75,47,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/volbeat.png,False
314,Illumise,Bug,,430,65,47,75,73,85,85,https://img.pokemondb.net/sprites/sword-shield/icon/illumise.png,False
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,https://img.pokemondb.net/sprites/sword-shield/icon/roselia.png,False
316,Gulpin,Poison,,302,70,43,53,43,53,40,https://img.pokemondb.net/sprites/sword-shield/icon/gulpin.png,False
317,Swalot,Poison,,467,100,73,83,73,83,55,https://img.pokemondb.net/sprites/sword-shield/icon/swalot.png,False
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,https://img.pokemondb.net/sprites/sword-shield/icon/carvanha.png,False
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo.png,False
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,https://img.pokemondb.net/sprites/sword-shield/icon/sharpedo-mega.png,True
320,Wailmer,Water,,400,130,70,35,70,35,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailmer.png,False
321,Wailord,Water,,500,170,90,45,90,45,60,https://img.pokemondb.net/sprites/sword-shield/icon/wailord.png,False
322,Numel,Fire,Ground,305,60,60,40,65,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/numel.png,False
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt.png,False
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,https://img.pokemondb.net/sprites/sword-shield/icon/camerupt-mega.png,True
324,Torkoal,Fire,,470,70,85,140,85,70,20,https://img.pokemondb.net/sprites/sword-shield/icon/torkoal.png,False
325,Spoink,Psychic,,330,60,25,35,70,80,60,https://img.pokemondb.net/sprites/sword-shield/icon/spoink.png,False
326,Grumpig,Psychic,,470,80,45,65,90,110,80,https://img.pokemondb.net/sprites/sword-shield/icon/grumpig.png,False
327,Spinda,Normal,,360,60,60,60,60,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/spinda.png,False
328,Trapinch,Ground,,290,45,100,45,45,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/trapinch.png,False
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,https://img.pokemondb.net/sprites/sword-shield/icon/vibrava.png,False
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/flygon.png,False
331,Cacnea,Grass,,335,50,85,40,85,40,35,https://img.pokemondb.net/sprites/sword-shield/icon/cacnea.png,False
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/cacturne.png,False
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,https://img.pokemondb.net/sprites/sword-shield/icon/swablu.png,False
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria.png,False
334,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/altaria-mega.png,True
335,Zangoose,Normal,,458,73,115,60,60,60,90,https://img.pokemondb.net/sprites/sword-shield/icon/zangoose.png,False
336,Seviper,Poison,,458,73,100,60,100,60,65,https://img.pokemondb.net/sprites/sword-shield/icon/seviper.png,False
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,https://img.pokemondb.net/sprites/sword-shield/icon/lunatone.png,False
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,https://img.pokemondb.net/sprites/sword-shield/icon/solrock.png,False
339,Barboach,Water,Ground,288,50,48,43,46,41,60,https://img.pokemondb.net/sprites/sword-shield/icon/barboach.png,False
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,https://img.pokemondb.net/sprites/sword-shield/icon/whiscash.png,False
341,Corphish,Water,,308,43,80,65,50,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/corphish.png,False
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,https://img.pokemondb.net/sprites/sword-shield/icon/crawdaunt.png,False
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/baltoy.png,False
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,https://img.pokemondb.net/sprites/sword-shield/icon/claydol.png,False
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,https://img.pokemondb.net/sprites/sword-shield/icon/lileep.png,False
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,https://img.pokemondb.net/sprites/sword-shield/icon/cradily.png,False
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/anorith.png,False
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/armaldo.png,False
349,Feebas,Water,,200,20,15,20,10,55,80,https://img.pokemondb.net/sprites/sword-shield/icon/feebas.png,False
350,Milotic,Water,,540,95,60,79,100,125,81,https://img.pokemondb.net/sprites/sword-shield/icon/milotic.png,False
351,Castform,Normal,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform.png,False
351,Sunny Form,Fire,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-sunny.png,True
351,Rainy Form,Water,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-rainy.png,True
351,Snowy Form,Ice,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-snowy.png,True
352,Kecleon,Normal,,440,60,90,70,60,120,40,https://img.pokemondb.net/sprites/sword-shield/icon/kecleon.png,False
353,Shuppet,Ghost,,295,44,75,35,63,33,45,https://img.pokemondb.net/sprites/sword-shield/icon/shuppet.png,False
354,Banette,Ghost,,455,64,115,65,83,63,65,https://img.pokemondb.net/sprites/sword-shield/icon/banette.png,False
354,Mega Banette,Ghost,,555,64,165,75,93,83,75,https://img.pokemondb.net/sprites/sword-shield/icon/banette-mega.png,True
